Stimulus Dot Flicker Block 
Adaptation Trial 1 from 12 | stimtiming: 0.083333 
expectedTime(TR):4.00000 	 toc: 0.00215
beforeOnset(TR):3.99643 	 toc: 0.01102
onsetSTIM(TR):4.00228 	 toc: 4.00260
expectedTimeSTIM(TR):4.03567 	 toc: 4.00265
onsetMASK(TR):4.03795 	 toc: 4.03835
expectedTimeMASK(TR):4.07135 	 toc: 4.03842
beforeOnset(TR):4.06778 	 toc: 4.03968
onsetSTIM(TR):4.07362 	 toc: 4.07393
expectedTimeSTIM(TR):4.10702 	 toc: 4.07398
onsetMASK(TR):4.10929 	 toc: 4.10969
expectedTimeMASK(TR):4.14269 	 toc: 4.10975
beforeOnset(TR):4.13913 	 toc: 4.11039
onsetSTIM(TR):4.14496 	 toc: 4.14533
expectedTimeSTIM(TR):4.17837 	 toc: 4.14539
onsetMASK(TR):4.18063 	 toc: 4.18109
expectedTimeMASK(TR):4.21404 	 toc: 4.18115
beforeOnset(TR):4.21047 	 toc: 4.18165
onsetSTIM(TR):4.21630 	 toc: 4.21660
expectedTimeSTIM(TR):4.24971 	 toc: 4.21665
onsetMASK(TR):4.25197 	 toc: 4.25229
expectedTimeMASK(TR):4.28539 	 toc: 4.25235
beforeOnset(TR):4.28182 	 toc: 4.25353
onsetSTIM(TR):4.28764 	 toc: 4.28809
expectedTimeSTIM(TR):4.32106 	 toc: 4.28827
onsetMASK(TR):4.32331 	 toc: 4.32370
expectedTimeMASK(TR):4.35674 	 toc: 4.32391
beforeOnset(TR):4.35317 	 toc: 4.32458
onsetSTIM(TR):4.35898 	 toc: 4.35932
expectedTimeSTIM(TR):4.39241 	 toc: 4.35936
onsetMASK(TR):4.39466 	 toc: 4.39510
expectedTimeMASK(TR):4.42808 	 toc: 4.39516
beforeOnset(TR):4.42452 	 toc: 4.39545
onsetSTIM(TR):4.43032 	 toc: 4.43060
expectedTimeSTIM(TR):4.46376 	 toc: 4.43065
onsetMASK(TR):4.46601 	 toc: 4.46633
expectedTimeMASK(TR):4.49943 	 toc: 4.46643
beforeOnset(TR):4.49586 	 toc: 4.46685
onsetSTIM(TR):4.50167 	 toc: 4.50184
expectedTimeSTIM(TR):4.53510 	 toc: 4.50188
onsetMASK(TR):4.53734 	 toc: 4.53759
expectedTimeMASK(TR):4.57078 	 toc: 4.53763
beforeOnset(TR):4.56721 	 toc: 4.53789
onsetSTIM(TR):4.57301 	 toc: 4.57321
expectedTimeSTIM(TR):4.60645 	 toc: 4.57325
onsetMASK(TR):4.60868 	 toc: 4.60889
expectedTimeMASK(TR):4.64212 	 toc: 4.60893
beforeOnset(TR):4.63856 	 toc: 4.60919
onsetSTIM(TR):4.64435 	 toc: 4.64455
expectedTimeSTIM(TR):4.67780 	 toc: 4.64459
onsetMASK(TR):4.68002 	 toc: 4.68020
expectedTimeMASK(TR):4.71347 	 toc: 4.68025
beforeOnset(TR):4.70990 	 toc: 4.68050
onsetSTIM(TR):4.71570 	 toc: 4.71590
expectedTimeSTIM(TR):4.74914 	 toc: 4.71595
onsetMASK(TR):4.75137 	 toc: 4.75154
expectedTimeMASK(TR):4.78482 	 toc: 4.75158
beforeOnset(TR):4.78125 	 toc: 4.75183
onsetSTIM(TR):4.78703 	 toc: 4.78725
expectedTimeSTIM(TR):4.82049 	 toc: 4.78729
onsetMASK(TR):4.82271 	 toc: 4.82287
expectedTimeMASK(TR):4.85616 	 toc: 4.82293
beforeOnset(TR):4.85260 	 toc: 4.82379
onsetSTIM(TR):4.85838 	 toc: 4.85848
expectedTimeSTIM(TR):4.89184 	 toc: 4.85870
onsetMASK(TR):4.89405 	 toc: 4.89419
expectedTimeMASK(TR):4.92751 	 toc: 4.89423
beforeOnset(TR):4.92394 	 toc: 4.90186
onsetSTIM(TR):4.92972 	 toc: 4.92991
expectedTimeSTIM(TR):4.96318 	 toc: 4.92995
onsetMASK(TR):4.96539 	 toc: 4.96553
expectedTimeMASK(TR):4.99886 	 toc: 4.96557
beforeOnset(TR):4.99529 	 toc: 4.96591
onsetSTIM(TR):5.00106 	 toc: 5.00120
expectedTimeSTIM(TR):5.03453 	 toc: 5.00124
onsetMASK(TR):5.03673 	 toc: 5.03688
expectedTimeMASK(TR):5.07021 	 toc: 5.03692
beforeOnset(TR):5.06664 	 toc: 5.03716
onsetSTIM(TR):5.07240 	 toc: 5.07255
expectedTimeSTIM(TR):5.10588 	 toc: 5.07259
onsetMASK(TR):5.10807 	 toc: 5.10830
expectedTimeMASK(TR):5.14155 	 toc: 5.10834
beforeOnset(TR):5.13799 	 toc: 5.10864
onsetSTIM(TR):5.14375 	 toc: 5.14385
expectedTimeSTIM(TR):5.17723 	 toc: 5.14389
onsetMASK(TR):5.17942 	 toc: 5.17958
expectedTimeMASK(TR):5.21290 	 toc: 5.17962
beforeOnset(TR):5.20933 	 toc: 5.17988
onsetSTIM(TR):5.21509 	 toc: 5.21520
expectedTimeSTIM(TR):5.24857 	 toc: 5.21526
onsetMASK(TR):5.25076 	 toc: 5.25089
expectedTimeMASK(TR):5.28425 	 toc: 5.25093
beforeOnset(TR):5.28068 	 toc: 5.25120
onsetSTIM(TR):5.28643 	 toc: 5.28663
expectedTimeSTIM(TR):5.31992 	 toc: 5.28667
onsetMASK(TR):5.32210 	 toc: 5.32228
expectedTimeMASK(TR):5.35559 	 toc: 5.32233
beforeOnset(TR):5.35203 	 toc: 5.32258
onsetSTIM(TR):5.35777 	 toc: 5.35799
expectedTimeSTIM(TR):5.39127 	 toc: 5.35804
onsetMASK(TR):5.39344 	 toc: 5.39366
expectedTimeMASK(TR):5.42694 	 toc: 5.39373
beforeOnset(TR):5.42337 	 toc: 5.39415
onsetSTIM(TR):5.42911 	 toc: 5.42932
expectedTimeSTIM(TR):5.46261 	 toc: 5.42937
onsetMASK(TR):5.46478 	 toc: 5.46491
expectedTimeMASK(TR):5.49829 	 toc: 5.46496
beforeOnset(TR):5.49472 	 toc: 5.46522
onsetSTIM(TR):5.50045 	 toc: 5.50063
expectedTimeSTIM(TR):5.53396 	 toc: 5.50068
onsetMASK(TR):5.53612 	 toc: 5.53628
expectedTimeMASK(TR):5.56963 	 toc: 5.53634
beforeOnset(TR):5.56607 	 toc: 5.53666
onsetSTIM(TR):5.57179 	 toc: 5.57191
expectedTimeSTIM(TR):5.60531 	 toc: 5.57195
onsetMASK(TR):5.60746 	 toc: 5.60763
expectedTimeMASK(TR):5.64098 	 toc: 5.60766
beforeOnset(TR):5.63741 	 toc: 5.60797
onsetSTIM(TR):5.64314 	 toc: 5.64325
expectedTimeSTIM(TR):5.67666 	 toc: 5.64329
onsetMASK(TR):5.67881 	 toc: 5.67891
expectedTimeMASK(TR):5.71233 	 toc: 5.67896
beforeOnset(TR):5.70876 	 toc: 5.67970
onsetSTIM(TR):5.71448 	 toc: 5.71474
expectedTimeSTIM(TR):5.74800 	 toc: 5.71482
onsetMASK(TR):5.75015 	 toc: 5.75029
expectedTimeMASK(TR):5.78368 	 toc: 5.75034
beforeOnset(TR):5.78011 	 toc: 5.75094
onsetSTIM(TR):5.78582 	 toc: 5.78591
expectedTimeSTIM(TR):5.81935 	 toc: 5.78595
onsetMASK(TR):5.82149 	 toc: 5.82174
expectedTimeMASK(TR):5.85502 	 toc: 5.82188
beforeOnset(TR):5.85146 	 toc: 5.82233
onsetSTIM(TR):5.85716 	 toc: 5.85728
expectedTimeSTIM(TR):5.89070 	 toc: 5.85734
onsetMASK(TR):5.89283 	 toc: 5.89299
expectedTimeMASK(TR):5.92637 	 toc: 5.89304
beforeOnset(TR):5.92280 	 toc: 5.89346
onsetSTIM(TR):5.92850 	 toc: 5.92863
expectedTimeSTIM(TR):5.96204 	 toc: 5.92870
onsetMASK(TR):5.96417 	 toc: 5.96425
expectedTimeMASK(TR):5.99772 	 toc: 5.96430
beforeOnset(TR):5.99415 	 toc: 5.96471
onsetSTIM(TR):5.99985 	 toc: 5.99996
expectedTimeSTIM(TR):6.03339 	 toc: 6.00002
onsetMASK(TR):6.03551 	 toc: 6.03562
expectedTimeMASK(TR):6.06906 	 toc: 6.03567
beforeOnset(TR):6.06550 	 toc: 6.03601
onsetSTIM(TR):6.07118 	 toc: 6.07126
expectedTimeSTIM(TR):6.10474 	 toc: 6.07131
onsetMASK(TR):6.10686 	 toc: 6.10694
expectedTimeMASK(TR):6.14041 	 toc: 6.10700
beforeOnset(TR):6.13684 	 toc: 6.10768
onsetSTIM(TR):6.14253 	 toc: 6.14267
expectedTimeSTIM(TR):6.17608 	 toc: 6.14271
onsetMASK(TR):6.17820 	 toc: 6.17831
expectedTimeMASK(TR):6.21176 	 toc: 6.17836
beforeOnset(TR):6.20819 	 toc: 6.17871
onsetSTIM(TR):6.21387 	 toc: 6.21402
expectedTimeSTIM(TR):6.24743 	 toc: 6.21407
onsetMASK(TR):6.24954 	 toc: 6.24963
expectedTimeMASK(TR):6.28311 	 toc: 6.24967
beforeOnset(TR):6.27954 	 toc: 6.24994
onsetSTIM(TR):6.28521 	 toc: 6.28536
expectedTimeSTIM(TR):6.31878 	 toc: 6.28542
onsetMASK(TR):6.32088 	 toc: 6.32099
expectedTimeMASK(TR):6.35445 	 toc: 6.32103
beforeOnset(TR):6.35088 	 toc: 6.32149
onsetSTIM(TR):6.35655 	 toc: 6.35666
expectedTimeSTIM(TR):6.39013 	 toc: 6.35671
onsetMASK(TR):6.39222 	 toc: 6.39239
