Stimulus Dot Flicker Block 
Adaptation Trial 1 from 12 | stimtiming: 0.250000 
expectedTime(TR):3.00000 	 toc: 0.00369
beforeOnset(TR):2.99740 	 toc: 0.00710
onsetSTIM(TR):2.99988 	 toc: 3.00019
expectedTimeSTIM(TR):3.07813 	 toc: 3.00060
onsetMASK(TR):3.07800 	 toc: 3.07827
expectedTimeMASK(TR):3.15625 	 toc: 3.07869
beforeOnset(TR):3.15365 	 toc: 3.08150
onsetSTIM(TR):3.15612 	 toc: 3.15630
expectedTimeSTIM(TR):3.23438 	 toc: 3.15634
onsetMASK(TR):3.23424 	 toc: 3.23443
expectedTimeMASK(TR):3.31250 	 toc: 3.23448
beforeOnset(TR):3.30990 	 toc: 3.23520
onsetSTIM(TR):3.31236 	 toc: 3.31240
expectedTimeSTIM(TR):3.39063 	 toc: 3.31245
onsetMASK(TR):3.39048 	 toc: 3.39053
expectedTimeMASK(TR):3.46875 	 toc: 3.39058
beforeOnset(TR):3.46615 	 toc: 3.39106
onsetSTIM(TR):3.46860 	 toc: 3.46864
expectedTimeSTIM(TR):3.54688 	 toc: 3.46869
onsetMASK(TR):3.54673 	 toc: 3.54677
expectedTimeMASK(TR):3.62500 	 toc: 3.54682
beforeOnset(TR):3.62240 	 toc: 3.54730
onsetSTIM(TR):3.62485 	 toc: 3.62488
expectedTimeSTIM(TR):3.70313 	 toc: 3.62493
onsetMASK(TR):3.70297 	 toc: 3.70301
expectedTimeMASK(TR):3.78125 	 toc: 3.70305
beforeOnset(TR):3.77865 	 toc: 3.70354
onsetSTIM(TR):3.78109 	 toc: 3.78113
expectedTimeSTIM(TR):3.85938 	 toc: 3.78118
onsetMASK(TR):3.85921 	 toc: 3.85925
expectedTimeMASK(TR):3.93750 	 toc: 3.85929
beforeOnset(TR):3.93490 	 toc: 3.85977
onsetSTIM(TR):3.93733 	 toc: 3.93737
expectedTimeSTIM(TR):4.01562 	 toc: 3.93741
onsetMASK(TR):4.01545 	 toc: 4.01549
expectedTimeMASK(TR):4.09375 	 toc: 4.01553
beforeOnset(TR):4.09115 	 toc: 4.01600
onsetSTIM(TR):4.09357 	 toc: 4.09361
expectedTimeSTIM(TR):4.17188 	 toc: 4.09365
onsetMASK(TR):4.17170 	 toc: 4.17173
expectedTimeMASK(TR):4.25000 	 toc: 4.17177
beforeOnset(TR):4.24740 	 toc: 4.17289
onsetSTIM(TR):4.24982 	 toc: 4.24985
expectedTimeSTIM(TR):4.32812 	 toc: 4.24990
onsetMASK(TR):4.32794 	 toc: 4.32797
expectedTimeMASK(TR):4.40625 	 toc: 4.32801
beforeOnset(TR):4.40365 	 toc: 4.32847
