Stimulus Dot Flicker Block 
Adaptation Trial 1 from 12 | stimtiming: 0.250000 
expectedTime(TR):3.00000 	 toc: 0.00381
beforeOnset(TR):2.99740 	 toc: 0.00609
onsetSTIM(TR):2.99987 	 toc: 3.00021
expectedTimeSTIM(TR):3.07813 	 toc: 3.00063
onsetMASK(TR):3.07799 	 toc: 3.07830
expectedTimeMASK(TR):3.15625 	 toc: 3.07873
beforeOnset(TR):3.15365 	 toc: 3.08156
onsetSTIM(TR):3.15612 	 toc: 3.15630
expectedTimeSTIM(TR):3.23438 	 toc: 3.15635
onsetMASK(TR):3.23424 	 toc: 3.23443
expectedTimeMASK(TR):3.31250 	 toc: 3.23449
beforeOnset(TR):3.30990 	 toc: 3.23524
onsetSTIM(TR):3.31236 	 toc: 3.31240
expectedTimeSTIM(TR):3.39063 	 toc: 3.31245
onsetMASK(TR):3.39048 	 toc: 3.39053
expectedTimeMASK(TR):3.46875 	 toc: 3.39057
beforeOnset(TR):3.46615 	 toc: 3.39111
onsetSTIM(TR):3.46860 	 toc: 3.46864
expectedTimeSTIM(TR):3.54688 	 toc: 3.46869
onsetMASK(TR):3.54672 	 toc: 3.54677
expectedTimeMASK(TR):3.62500 	 toc: 3.54681
beforeOnset(TR):3.62240 	 toc: 3.54731
onsetSTIM(TR):3.62484 	 toc: 3.62488
expectedTimeSTIM(TR):3.70313 	 toc: 3.62493
onsetMASK(TR):3.70297 	 toc: 3.70301
expectedTimeMASK(TR):3.78125 	 toc: 3.70305
beforeOnset(TR):3.77865 	 toc: 3.70356
onsetSTIM(TR):3.78109 	 toc: 3.78113
expectedTimeSTIM(TR):3.85938 	 toc: 3.78117
onsetMASK(TR):3.85921 	 toc: 3.85925
expectedTimeMASK(TR):3.93750 	 toc: 3.85929
beforeOnset(TR):3.93490 	 toc: 3.85976
onsetSTIM(TR):3.93733 	 toc: 3.93737
expectedTimeSTIM(TR):4.01562 	 toc: 3.93741
onsetMASK(TR):4.01545 	 toc: 4.01549
expectedTimeMASK(TR):4.09375 	 toc: 4.01553
beforeOnset(TR):4.09115 	 toc: 4.01603
onsetSTIM(TR):4.09357 	 toc: 4.09361
expectedTimeSTIM(TR):4.17188 	 toc: 4.09365
onsetMASK(TR):4.17169 	 toc: 4.17173
expectedTimeMASK(TR):4.25000 	 toc: 4.17177
beforeOnset(TR):4.24740 	 toc: 4.17295
onsetSTIM(TR):4.24982 	 toc: 4.24985
expectedTimeSTIM(TR):4.32812 	 toc: 4.24990
onsetMASK(TR):4.32794 	 toc: 4.32797
expectedTimeMASK(TR):4.40625 	 toc: 4.32803
beforeOnset(TR):4.40365 	 toc: 4.32855
onsetSTIM(TR):4.40606 	 toc: 4.40609
expectedTimeSTIM(TR):4.48438 	 toc: 4.40614
onsetMASK(TR):4.48418 	 toc: 4.48421
expectedTimeMASK(TR):4.56250 	 toc: 4.48426
beforeOnset(TR):4.55990 	 toc: 4.48473
onsetSTIM(TR):4.56230 	 toc: 4.56234
expectedTimeSTIM(TR):4.64062 	 toc: 4.56238
onsetMASK(TR):4.64042 	 toc: 4.64047
expectedTimeMASK(TR):4.71875 	 toc: 4.64052
beforeOnset(TR):4.71615 	 toc: 4.64107
onsetSTIM(TR):4.71854 	 toc: 4.71858
expectedTimeSTIM(TR):4.79688 	 toc: 4.71863
onsetMASK(TR):4.79667 	 toc: 4.79671
expectedTimeMASK(TR):4.87500 	 toc: 4.79676
beforeOnset(TR):4.87240 	 toc: 4.79723
onsetSTIM(TR):4.87479 	 toc: 4.87482
expectedTimeSTIM(TR):4.95312 	 toc: 4.87488
onsetMASK(TR):4.95291 	 toc: 4.95294
expectedTimeMASK(TR):5.03125 	 toc: 4.95299
beforeOnset(TR):5.02865 	 toc: 4.95347
onsetSTIM(TR):5.03103 	 toc: 5.03107
expectedTimeSTIM(TR):5.10938 	 toc: 5.03112
onsetMASK(TR):5.10915 	 toc: 5.10920
expectedTimeMASK(TR):5.18750 	 toc: 5.10925
beforeOnset(TR):5.18490 	 toc: 5.10971
onsetSTIM(TR):5.18727 	 toc: 5.18732
expectedTimeSTIM(TR):5.26562 	 toc: 5.18736
