Stimulus Dot Flicker Block 
Adaptation Trial 1 from 12 | stimtiming: 1.000000 
expectedTime(TR):3.00000 	 toc: 0.00046
beforeOnset(TR):2.99740 	 toc: 0.00112
onsetSTIM(TR):2.99987 	 toc: 3.00016
expectedTimeSTIM(TR):3.31250 	 toc: 3.00026
onsetMASK(TR):3.31236 	 toc: 3.31256
expectedTimeMASK(TR):3.62500 	 toc: 3.31260
beforeOnset(TR):3.62240 	 toc: 3.31306
onsetSTIM(TR):3.62484 	 toc: 3.62488
expectedTimeSTIM(TR):3.93750 	 toc: 3.62491
onsetMASK(TR):3.93733 	 toc: 3.93736
expectedTimeMASK(TR):4.25000 	 toc: 3.93739
beforeOnset(TR):4.24740 	 toc: 3.93783
onsetSTIM(TR):4.24982 	 toc: 4.24985
expectedTimeSTIM(TR):4.56250 	 toc: 4.24988
onsetMASK(TR):4.56230 	 toc: 4.56236
expectedTimeMASK(TR):4.87500 	 toc: 4.56243
beforeOnset(TR):4.87240 	 toc: 4.56292
onsetSTIM(TR):4.87479 	 toc: 4.87482
expectedTimeSTIM(TR):5.18750 	 toc: 4.87486
onsetMASK(TR):5.18727 	 toc: 5.18730
expectedTimeMASK(TR):5.50000 	 toc: 5.18735
beforeOnset(TR):5.49740 	 toc: 5.18783
onsetSTIM(TR):5.49976 	 toc: 5.49979
expectedTimeSTIM(TR):5.81250 	 toc: 5.49982
onsetMASK(TR):5.81224 	 toc: 5.81227
expectedTimeMASK(TR):6.12500 	 toc: 5.81232
beforeOnset(TR):6.12240 	 toc: 6.10416
onsetSTIM(TR):6.12473 	 toc: 6.12476
expectedTimeSTIM(TR):6.43750 	 toc: 6.12479
onsetMASK(TR):6.43721 	 toc: 6.43725
expectedTimeMASK(TR):6.75000 	 toc: 6.43729
beforeOnset(TR):6.74740 	 toc: 6.43775
onsetSTIM(TR):6.74970 	 toc: 6.74973
expectedTimeSTIM(TR):7.06250 	 toc: 6.74976
onsetMASK(TR):7.06218 	 toc: 7.06221
expectedTimeMASK(TR):7.37500 	 toc: 7.06226
breakDetected(TR) toc: 7.06248
lastTrialFlip(TR):7.37467 	 toc: 7.37490
expectedTime ITI(TR):11.00000 	 toc: 7.37496
button readout over : toc: 7.40729
Adaptation Trial 2 from 12 | stimtiming: 0.083333 
expectedTime(TR):11.00000 	 toc: 7.40784
beforeOnset(TR):10.99740 	 toc: 7.40819
onsetSTIM(TR):10.99950 	 toc: 10.99955
expectedTimeSTIM(TR):11.02604 	 toc: 10.99961
onsetMASK(TR):11.02554 	 toc: 11.02557
expectedTimeMASK(TR):11.05208 	 toc: 11.02561
beforeOnset(TR):11.04948 	 toc: 11.02604
onsetSTIM(TR):11.05158 	 toc: 11.05161
expectedTimeSTIM(TR):11.07813 	 toc: 11.05165
onsetMASK(TR):11.07762 	 toc: 11.07766
expectedTimeMASK(TR):11.10417 	 toc: 11.07769
beforeOnset(TR):11.10156 	 toc: 11.07811
onsetSTIM(TR):11.10366 	 toc: 11.10370
expectedTimeSTIM(TR):11.13021 	 toc: 11.10373
onsetMASK(TR):11.12970 	 toc: 11.12974
expectedTimeMASK(TR):11.15625 	 toc: 11.12977
beforeOnset(TR):11.15365 	 toc: 11.13020
onsetSTIM(TR):11.15574 	 toc: 11.15578
expectedTimeSTIM(TR):11.18229 	 toc: 11.15581
onsetMASK(TR):11.18179 	 toc: 11.18182
expectedTimeMASK(TR):11.20833 	 toc: 11.18185
beforeOnset(TR):11.20573 	 toc: 11.18227
onsetSTIM(TR):11.20783 	 toc: 11.20786
expectedTimeSTIM(TR):11.23438 	 toc: 11.20789
onsetMASK(TR):11.23387 	 toc: 11.23390
expectedTimeMASK(TR):11.26042 	 toc: 11.23393
beforeOnset(TR):11.25781 	 toc: 11.23435
onsetSTIM(TR):11.25991 	 toc: 11.25994
expectedTimeSTIM(TR):11.28646 	 toc: 11.25997
onsetMASK(TR):11.28595 	 toc: 11.28598
expectedTimeMASK(TR):11.31250 	 toc: 11.28601
beforeOnset(TR):11.30990 	 toc: 11.28643
onsetSTIM(TR):11.31199 	 toc: 11.31202
expectedTimeSTIM(TR):11.33854 	 toc: 11.31206
onsetMASK(TR):11.33803 	 toc: 11.33806
expectedTimeMASK(TR):11.36458 	 toc: 11.33809
beforeOnset(TR):11.36198 	 toc: 11.33862
onsetSTIM(TR):11.36407 	 toc: 11.36410
expectedTimeSTIM(TR):11.39063 	 toc: 11.36413
onsetMASK(TR):11.39011 	 toc: 11.39014
expectedTimeMASK(TR):11.41667 	 toc: 11.39018
beforeOnset(TR):11.41406 	 toc: 11.39060
onsetSTIM(TR):11.41615 	 toc: 11.41618
expectedTimeSTIM(TR):11.44271 	 toc: 11.41622
onsetMASK(TR):11.44219 	 toc: 11.44222
expectedTimeMASK(TR):11.46875 	 toc: 11.44226
beforeOnset(TR):11.46615 	 toc: 11.44268
onsetSTIM(TR):11.46823 	 toc: 11.46826
expectedTimeSTIM(TR):11.49479 	 toc: 11.46830
onsetMASK(TR):11.49427 	 toc: 11.49430
expectedTimeMASK(TR):11.52083 	 toc: 11.49434
beforeOnset(TR):11.51823 	 toc: 11.49475
onsetSTIM(TR):11.52031 	 toc: 11.52034
expectedTimeSTIM(TR):11.54688 	 toc: 11.52038
onsetMASK(TR):11.54635 	 toc: 11.54639
expectedTimeMASK(TR):11.57292 	 toc: 11.54642
beforeOnset(TR):11.57031 	 toc: 11.54684
onsetSTIM(TR):11.57239 	 toc: 11.57242
expectedTimeSTIM(TR):11.59896 	 toc: 11.57246
onsetMASK(TR):11.59843 	 toc: 11.59846
expectedTimeMASK(TR):11.62500 	 toc: 11.59850
beforeOnset(TR):11.62240 	 toc: 11.59892
onsetSTIM(TR):11.62447 	 toc: 11.62451
expectedTimeSTIM(TR):11.65104 	 toc: 11.62454
onsetMASK(TR):11.65051 	 toc: 11.65055
expectedTimeMASK(TR):11.67708 	 toc: 11.65058
beforeOnset(TR):11.67448 	 toc: 11.65099
onsetSTIM(TR):11.67655 	 toc: 11.67659
expectedTimeSTIM(TR):11.70313 	 toc: 11.67662
onsetMASK(TR):11.70259 	 toc: 11.70263
expectedTimeMASK(TR):11.72917 	 toc: 11.70267
beforeOnset(TR):11.72656 	 toc: 11.70308
onsetSTIM(TR):11.72863 	 toc: 11.72867
expectedTimeSTIM(TR):11.75521 	 toc: 11.72870
onsetMASK(TR):11.75467 	 toc: 11.75471
expectedTimeMASK(TR):11.78125 	 toc: 11.75474
beforeOnset(TR):11.77865 	 toc: 11.75513
onsetSTIM(TR):11.78071 	 toc: 11.78075
expectedTimeSTIM(TR):11.80729 	 toc: 11.78079
onsetMASK(TR):11.80676 	 toc: 11.80679
expectedTimeMASK(TR):11.83333 	 toc: 11.80682
beforeOnset(TR):11.83073 	 toc: 11.81740
onsetSTIM(TR):11.83280 	 toc: 11.83283
expectedTimeSTIM(TR):11.85938 	 toc: 11.83286
onsetMASK(TR):11.85884 	 toc: 11.85887
